date,name,gender,value
2000,Emily,F,25956
2000,Hannah,F,23082
2000,Madison,F,19968
2000,Ashley,F,17997
2000,Sarah,F,17702
2000,Alexis,F,17629
2000,Samantha,F,17265
2000,Jessica,F,15709
2000,Elizabeth,F,15099
2000,Taylor,F,15078
2000,Lauren,F,14175
2000,Alyssa,F,13553
2000,Kayla,F,13312
2000,Abigail,F,13090
2000,Brianna,F,12879
2000,Olivia,F,12852
2000,Emma,F,12552
2000,Megan,F,11434
2000,Grace,F,11285
2000,Victoria,F,10925
2000,Rachel,F,10675
2000,Anna,F,10589
2000,Sydney,F,10242
2000,Destiny,F,9850
2000,Morgan,F,9502
2000,Jennifer,F,9386
2000,Jasmine,F,9097
2000,Haley,F,9069
2000,Julia,F,8766
2000,Kaitlyn,F,8758
2000,Nicole,F,8562
2000,Amanda,F,8554
2000,Katherine,F,8108
2000,Natalie,F,8094
2000,Hailey,F,7830
2000,Alexandra,F,7547
2000,Savannah,F,7099
2000,Chloe,F,7094
2000,Rebecca,F,7066
2000,Stephanie,F,7028
2000,Maria,F,6854
2000,Sophia,F,6563
2000,Mackenzie,F,6349
2000,Allison,F,6314
2000,Isabella,F,6242
2000,Mary,F,6198
2000,Amber,F,6181
2000,Danielle,F,6088
2000,Gabrielle,F,5870
2000,Jordan,F,5807
2000,Brooke,F,5640
2000,Michelle,F,5544
2000,Sierra,F,5521
2000,Katelyn,F,5502
2000,Andrea,F,5478
2000,Madeline,F,5370
2000,Sara,F,5318
2000,Kimberly,F,5244
2000,Courtney,F,5239
2000,Erin,F,5184
2000,Brittany,F,5183
2000,Vanessa,F,5133
2000,Jenna,F,5045
2000,Jacqueline,F,5036
2000,Caroline,F,5021
2000,Faith,F,4998
2000,Makayla,F,4917
2000,Bailey,F,4648
2000,Paige,F,4609
2000,Shelby,F,4559
2000,Melissa,F,4529
2000,Kaylee,F,4493
2000,Christina,F,4328
2000,Trinity,F,4284
2000,Mariah,F,4104
2000,Caitlin,F,4102
2000,Autumn,F,4027
2000,Marissa,F,4025
2000,Angela,F,3826
